id,agency,date,title,category,hazard,remedy,url
26C006000,NHTSA,2026-08-20,"Britax Child Safety, Inc. Recalls Child Restraints: Child Seat Carrying Handle May Detach",Car Seats,"A child may fall after a partial detachment, increasing the risk of injury.","The remedy is currently under development. Owner notification letters are expected to be mailed by October 19, 2026. Owners may contact Britax customer service at 888-427-4829.",https://www.nhtsa.gov/recalls?nhtsaId=26C006000
26-688,CPSC,2026-08-13,"Taleco Gear Recalls Baby Jumpers, Baby Swings and 2-in-1 Baby Jumper & Swings Due to Risk of Serious Injury or Death from Fall and Strangulation Hazards",Cribs & Sleep,"The baby jumper, baby swing and 2-in-1 baby jumper & swing can become unstable, posing fall and impact hazards. Additionally, the hanging restraint straps and seat openings can pose strangulation hazards.",Consumers should stop using the recalled products immediately and contact Taleco Gear to receive a full refund. Consumers will be provided with instructions on how to destroy the recalled products and provide photos of the destroyed parts to obtain a full refund.,https://www.cpsc.gov/Recalls/2026/Taleco-Gear-Recalls-Baby-Jumpers-Baby-Swings-and-2-in-1-Baby-Jumper-Swings-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-and-Strangulation-Hazards
26-689,CPSC,2026-08-13,TooyBing Wooden Bead Stacking Toys Recalled Due to Risk of Serious Injury or Death from Choking; Violate Small Parts Ban,Toys & Games,The recalled toys violate the small parts ban because they are intended for children under three years old and the wooden beads pose a deadly choking hazard to young children.,"Consumers should stop using the toys immediately, take them away from children, and contact TooyBing for free replacement.",https://www.cpsc.gov/Recalls/2026/TooyBing-Wooden-Bead-Stacking-Toys-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Choking-Violate-Small-Parts-Ban
26-693,CPSC,2026-08-13,Yamazuki Recalls Youth All-Terrain Vehicles (ATVs) Due to Risk of Serious Injury or Death from Crash Hazard; Violates Mandatory Standard for ATVs,"Bikes, Scooters & Ride-ons","The recalled youth ATVs violate the mandatory safety standard for ATVs because the parking brakes fail to hold and the ATV’s speed limiting device is not set to the restricted speed required for children ages six (6) and older, posing a crash hazard.","Consumers should stop using the recalled youth ATVs immediately and contact Yamazuki for a free repair kit, including shipping. The repair kit consists of replacement parking brake latches, rear safety reflectors, an owner’s manual storage bag and repair tools.",https://www.cpsc.gov/Recalls/2026/Yamazuki-Recalls-Youth-All-Terrain-Vehicles-ATVs-Due-to-Risk-of-Serious-Injury-or-Death-from-Crash-Hazard-Violates-Mandatory-Standard-for-ATVs
26-697,CPSC,2026-08-13,Shengsen Prank Sound Makers Recalled Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Consumer Products with Coin Batteries; Imported by Shengsen Toys,Toys & Games,"The recalled sound maker violates the mandatory safety standard for consumer products with button cell and coin batteries because the lithium coin batteries can be accessed easily by children, posing an ingestion hazard.",Consumers should stop using the sound maker immediately and contact Shengsen Toys for a full refund. Consumers will be asked to properly dispose of the sound maker into the trash and send a photo of the disposed product to ywpower@outlook.com. Note: Button cell and coin batteries are hazardous.,https://www.cpsc.gov/Recalls/2026/Shengsen-Prank-Sound-Makers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violate-Mandatory-Standard-for-Consumer-Products-with-Coin-Batteries-Imported-by-Shengsen-Toys
26-698,CPSC,2026-08-13,CuberShop Magnetic Speed Cubes Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Imported by SKY CUBE HK,Toys & Games,"The recalled magnetic cubes violate the mandatory standard for toys because the cubes were packaged with loose high-powered magnets, posing an ingestion hazard to children.","Consumers should take the recalled loose magnets away from children, stop using them immediately, and contact SKY CUBE HK for information on how to receive a partial refund of $5. Consumers may keep the cube.",https://www.cpsc.gov/Recalls/2026/CuberShop-Magnetic-Speed-Cubes-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Magnet-Ingestion-Violate-Mandatory-Standard-for-Toys-Imported-by-SKY-CUBE-HK
26-662,CPSC,2026-08-06,OKK Trading Recalls Easter LED Headbands Due to Risk of Serious Injury or Death from Battery Ingestion; Violate Mandatory Standard for Toys,Toys & Games,"The recalled headbands violate the mandatory safety standard for toys with button cell and coin batteries because the lithium coin batteries can be accessed easily by children, posing an ingestion hazard.",Consumers should stop using the Easter LED Headbands immediately and contact OKK Trading for a refund. Consumers will be asked to email recall@okktoys.com a photograph showing the product being properly disposed of in the trash. Note: Button cell batteries are hazardous.,https://www.cpsc.gov/Recalls/2026/OKK-Trading-Recalls-Easter-LED-Headbands-Due-to-Risk-of-Serious-Injury-or-Death-from-Battery-Ingestion-Violate-Mandatory-Standard-for-Toys
26-664,CPSC,2026-08-06,Magnetic Fidget Sliders Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys: Sold on Amazon by BUSOHA,Toys & Games,"The magnetic fidget sliders violate the mandatory standard for toys because they can liberate loose magnets posing an ingestion hazard to children. When high-powered magnets are swallowed, the ingested magnets can attract each other or other metal objects and become lodged in the digestive system.","Consumers should take the fidget sliders away from children, stop using them immediately and contact BUSOHA for a full refund. Consumers will be asked to throw away the fidget sliders and submit a photo of the disposed toys to BUSHOHArecall@outlook.com to receive a refund.",https://www.cpsc.gov/Recalls/2026/Magnetic-Fidget-Sliders-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Magnet-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-BUSOHA
26-665,CPSC,2026-08-06,Wnttmt Baby Walkers Recalled Due to Risk of Serious Injury or Death from Fall and Entrapment Hazards; Violate Mandatory Standard for Infant Walkers; Sold on Amazon by WURUI.BABY,Strollers & Carriers,"The recalled infant walkers violate the mandatory standard for infant walkers because they can fit through a standard doorway and fail to stop at the edge of a step, posing a deadly fall hazard.",Consumers should stop using the recalled infant walkers immediately and contact WURUI.BABY for a full refund.,https://www.cpsc.gov/Recalls/2026/Wnttmt-Baby-Walkers-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Fall-and-Entrapment-Hazards-Violate-Mandatory-Standard-for-Infant-Walkers-Sold-on-Amazon-by-WURUI-BABY
26-667,CPSC,2026-08-06,Magnetic Fidget Sliders Recalled Due to Risk of Serious Injury or Death from Magnet Ingestion; Violate Mandatory Standard for Toys; Sold on Amazon by PIXLABBY,Toys & Games,The magnetic fidget sliders violate the mandatory standard for toys because they can liberate loose high-powered magnets posing an ingestion hazard to children.,"Consumers should take the fidget sliders away from children, stop using them immediately and contact PIXLABBY for a full refund. Consumers will be asked to throw away the fidget sliders and submit a photo of the disposed toys to ah1998zxc@gmail.com to receive a refund.",https://www.cpsc.gov/Recalls/2026/Magnetic-Fidget-Sliders-Recalled-Due-to-Risk-of-Serious-Injury-or-Death-from-Magnet-Ingestion-Violate-Mandatory-Standard-for-Toys-Sold-on-Amazon-by-PIXLABBY
